hmin_interval,num_trips
2.0,125191
3.0,213878
4.0,371770
5.0,546105
6.0,708512
7.0,854414
8.0,970393
9.0,1057966
10.0,1118032
11.0,1148664
12.0,1161482
13.0,1154412
14.0,1139003
15.0,1109561
16.0,1073853
17.0,1027150
18.0,979898
19.0,930299
20.0,883244
21.0,835463
22.0,790573
23.0,746453
24.0,704727
25.0,665676
26.0,628827
27.0,594282
28.0,560976
29.0,531593
30.0,502572
31.0,475818
32.0,453264
33.0,430228
34.0,409397
35.0,389263
36.0,372088
37.0,356142
38.0,340531
39.0,326860
40.0,313756
41.0,299950
42.0,288458
43.0,276512
44.0,264438
45.0,253735
46.0,243424
47.0,233931
48.0,223953
49.0,213994
50.0,203767
51.0,194684
52.0,187237
53.0,177692
54.0,169826
55.0,160227
56.0,151323
57.0,143539
58.0,136014
59.0,126950
60.0,119511
61.0,111840
62.0,105565
63.0,98849
64.0,93156
65.0,88504
66.0,83000
67.0,77955
68.0,73487
69.0,68767
70.0,65396
71.0,61469
72.0,58145
73.0,54944
74.0,51435
75.0,48618
76.0,45640
77.0,42773
78.0,40506
79.0,38078
80.0,36014
81.0,33516
82.0,31641
83.0,29635
84.0,27823
85.0,25970
86.0,24412
87.0,22749
88.0,21314
89.0,19401
90.0,18297
91.0,16882
92.0,15721
93.0,14833
94.0,14077
95.0,13524
96.0,12510
97.0,12017
98.0,11762
99.0,11005
100.0,10628
101.0,10085
102.0,9723
103.0,9332
104.0,8936
105.0,8666
106.0,8300
107.0,8021
108.0,7942
109.0,7468
110.0,7243
111.0,7146
112.0,6731
113.0,6693
114.0,6551
115.0,6422
116.0,5921
117.0,5858
118.0,5682
119.0,5413
120.0,5205
121.0,5074
122.0,5056
123.0,4918
124.0,4692
125.0,4412
126.0,4395
127.0,4264
128.0,4101
129.0,4020
130.0,3947
131.0,3857
132.0,3692
133.0,3597
134.0,3636
135.0,3473
136.0,3383
137.0,3430
138.0,3223
139.0,3139
140.0,3251
141.0,3107
142.0,3015
143.0,2967
144.0,2897
145.0,2841
146.0,2856
147.0,2743
148.0,2659
149.0,2692
150.0,2544
151.0,2594
152.0,2448
153.0,2430
154.0,2453
155.0,2399
156.0,2337
157.0,2316
158.0,2300
159.0,2183
160.0,2201
161.0,2228
162.0,2146
163.0,2013
164.0,2019
165.0,2052
166.0,1986
167.0,1974
168.0,1871
169.0,1937
170.0,1931
171.0,1787
172.0,1827
173.0,1767
174.0,1732
175.0,1656
176.0,1729
177.0,1717
178.0,1631
179.0,1672
180.0,1573
181.0,1570
182.0,1528
183.0,1512
184.0,1420
185.0,1440
186.0,1444
187.0,1423
188.0,1413
189.0,1413
190.0,1388
191.0,1393
192.0,1293
193.0,1321
194.0,1287
195.0,1348
196.0,1247
197.0,1272
198.0,1273
199.0,1231
200.0,1258
201.0,1228
202.0,1107
203.0,1221
204.0,1127
205.0,1169
206.0,1154
207.0,1067
208.0,1051
209.0,1113
210.0,1121
211.0,1041
212.0,1066
213.0,980
214.0,977
215.0,1027
216.0,983
217.0,947
218.0,1043
219.0,974
220.0,955
221.0,940
222.0,904
223.0,900
224.0,887
225.0,924
226.0,909
227.0,952
228.0,849
229.0,906
230.0,817
231.0,859
232.0,771
233.0,866
234.0,836
235.0,860
236.0,818
237.0,770
238.0,771
239.0,775
240.0,829
241.0,777
242.0,709
243.0,716
244.0,754
245.0,746
246.0,731
247.0,757
248.0,723
249.0,728
250.0,666
251.0,706
252.0,671
253.0,636
254.0,641
255.0,678
256.0,676
257.0,605
258.0,624
259.0,623
260.0,631
261.0,628
262.0,611
263.0,617
264.0,580
265.0,588
266.0,581
267.0,584
268.0,608
269.0,582
270.0,601
271.0,565
272.0,571
273.0,533
274.0,520
275.0,512
276.0,574
277.0,560
278.0,538
279.0,552
280.0,553
281.0,485
282.0,493
283.0,472
284.0,525
285.0,498
286.0,485
287.0,478
288.0,492
289.0,494
290.0,459
291.0,507
292.0,475
293.0,482
294.0,478
295.0,474
296.0,450
297.0,489
298.0,496
299.0,433
300.0,453
301.0,399
302.0,398
303.0,445
304.0,389
305.0,430
306.0,432
307.0,444
308.0,402
309.0,388
310.0,393
311.0,389
312.0,396
313.0,422
314.0,372
315.0,441
316.0,413
317.0,392
318.0,393
319.0,374
320.0,385
321.0,379
322.0,376
323.0,356
324.0,358
325.0,372
326.0,396
327.0,325
328.0,350
329.0,364
330.0,355
331.0,394
332.0,338
333.0,358
334.0,349
335.0,325
336.0,313
337.0,309
338.0,348
339.0,317
340.0,345
341.0,320
342.0,345
343.0,315
344.0,338
345.0,338
346.0,324
347.0,309
348.0,298
349.0,302
350.0,265
351.0,300
352.0,291
353.0,303
354.0,284
355.0,293
356.0,281
357.0,284
358.0,287
359.0,284
360.0,273
361.0,270
362.0,277
363.0,274
364.0,257
365.0,274
366.0,267
367.0,273
368.0,263
369.0,275
370.0,276
371.0,271
372.0,287
373.0,264
374.0,291
375.0,287
376.0,273
377.0,272
378.0,250
379.0,258
380.0,266
381.0,248
382.0,248
383.0,260
384.0,238
385.0,266
386.0,267
387.0,238
388.0,251
389.0,261
390.0,249
391.0,261
392.0,281
393.0,248
394.0,231
395.0,228
396.0,223
397.0,250
398.0,227
399.0,235
400.0,226
401.0,223
402.0,234
403.0,224
404.0,241
405.0,244
406.0,206
407.0,221
408.0,220
409.0,200
410.0,247
411.0,201
412.0,221
413.0,217
414.0,211
415.0,198
416.0,204
417.0,175
418.0,214
419.0,210
420.0,188
421.0,224
422.0,176
423.0,195
424.0,176
425.0,159
426.0,188
427.0,191
428.0,190
429.0,194
430.0,183
431.0,168
432.0,167
433.0,184
434.0,177
435.0,189
436.0,157
437.0,171
438.0,183
439.0,165
440.0,168
441.0,146
442.0,180
443.0,186
444.0,183
445.0,185
446.0,165
447.0,155
448.0,181
449.0,151
450.0,184
451.0,157
452.0,179
453.0,166
454.0,158
455.0,166
456.0,172
457.0,149
458.0,169
459.0,145
460.0,170
461.0,141
462.0,156
463.0,139
464.0,161
465.0,137
466.0,148
467.0,146
468.0,140
469.0,138
470.0,134
471.0,164
472.0,123
473.0,147
474.0,138
475.0,126
476.0,147
477.0,118
478.0,128
479.0,110
480.0,126
481.0,141
482.0,149
483.0,145
484.0,131
485.0,126
486.0,154
487.0,169
488.0,117
489.0,107
490.0,128
491.0,141
492.0,128
493.0,142
494.0,124
495.0,122
496.0,117
497.0,144
498.0,120
499.0,129
500.0,142
501.0,155
502.0,133
503.0,109
504.0,146
505.0,131
506.0,130
507.0,151
508.0,112
509.0,107
510.0,120
511.0,117
512.0,132
513.0,112
514.0,108
515.0,116
516.0,128
517.0,114
518.0,114
519.0,115
520.0,120
521.0,125
522.0,99
523.0,116
524.0,125
525.0,103
526.0,112
527.0,108
528.0,97
529.0,90
530.0,108
531.0,105
532.0,114
533.0,110
534.0,125
535.0,114
536.0,91
537.0,117
538.0,107
539.0,103
540.0,99
541.0,97
542.0,90
543.0,101
544.0,81
545.0,100
546.0,106
547.0,97
548.0,84
549.0,112
550.0,101
551.0,97
552.0,96
553.0,90
554.0,125
555.0,90
556.0,100
557.0,106
558.0,108
559.0,100
560.0,105
561.0,105
562.0,92
563.0,108
564.0,107
565.0,99
566.0,96
567.0,95
568.0,91
569.0,86
